Material Dump with Offsets
0x82D2E3F8   $default
0x82D32F78   emblem_bg_cemetary
0x82D32FF8   emblem_bg_chains
0x82D33078   emblem_bg_coffins
0x82D330F8   emblem_bg_fence
0x82D33178   emblem_bg_flames
0x82D331F8   emblem_bg_forrest01
0x82D33278   emblem_bg_glass01
0x82D332F8   emblem_bg_hands01
0x82D33378   emblem_bg_hanging
0x82D333F8   emblem_bg_helicopter01
0x82D33478   emblem_bg_jet
0x82D334F8   emblem_bg_jolly_roger01
0x82D33578   emblem_bg_jolly_roger02
0x82D335F8   emblem_bg_jungle01
0x82D33678   emblem_bg_knife01
0x82D336F8   emblem_bg_machine01
0x82D33778   emblem_bg_melting
0x82D337F8   emblem_bg_metal01
0x82D33878   emblem_bg_metal02
0x82D338F8   emblem_bg_metal03
0x82D33978   emblem_bg_nixie
0x82D339F8   emblem_bg_skeleton01
0x82D33A78   emblem_bg_skulls
0x82D33AF8   emblem_bg_smash
0x82D33B78   emblem_bg_soldiers01
0x82D33BF8   emblem_bg_soldiers02
0x82D33C78   emblem_bg_soldiers03
0x82D33CF8   emblem_bg_soldiers04
0x82D33D78   emblem_bg_soldiers05
0x82D33DF8   emblem_bg_soldiers06
0x82D33E78   emblem_bg_soldiers07
0x82D33EF8   emblem_bg_soldiers08
0x82D33F78   emblem_bg_soldiers09
0x82D33FF8   emblem_bg_soldiers10
0x82D34078   emblem_bg_soldiers11
0x82D340F8   emblem_bg_soldiers12
0x82D34178   emblem_bg_soviet01
0x82D341F8   emblem_bg_soviet02
0x82D34278   emblem_bg_splat
0x82D342F8   emblem_bg_tank01
0x82D34378   emblem_bg_tiger
0x82D343F8   emblem_bg_treyarch01
0x82D34478   emblem_bg_treyarch02
0x82D344F8   emblem_bg_weapons01
0x82D34578   emblem_bg_australia
0x82D345F8   emblem_bg_austria
0x82D34678   emblem_bg_belgium
0x82D346F8   emblem_bg_bolivia
0x82D34778   emblem_bg_brazil
0x82D347F8   emblem_bg_canada
0x82D34878   emblem_bg_china
0x82D348F8   emblem_bg_columbia
0x82D34978   emblem_bg_cuba
0x82D349F8   emblem_bg_czech_republic
0x82D34A78   emblem_bg_denmark
0x82D34AF8   emblem_bg_egypt
0x82D34B78   emblem_bg_el_salvador
0x82D34BF8   emblem_bg_ethiopia
0x82D34C78   emblem_bg_france
0x82D34CF8   emblem_bg_germany
0x82D34D78   emblem_bg_greece
0x82D34DF8   emblem_bg_guatemala
0x82D34E78   emblem_bg_hong_kong
0x82D34EF8   emblem_bg_india
0x82D34F78   emblem_bg_iran
0x82D34FF8   emblem_bg_iraq
0x82D35078   emblem_bg_ireland
0x82D350F8   emblem_bg_israel
0x82D35178   emblem_bg_italy
0x82D351F8   emblem_bg_ivory_coast
0x82D35278   emblem_bg_japan
0x82D352F8   emblem_bg_kenya
0x82D35378   emblem_bg_mexico
0x82D353F8   emblem_bg_morocco
0x82D35478   emblem_bg_netherlands
0x82D354F8   emblem_bg_norway
0x82D35578   emblem_bg_phillipines
0x82D355F8   emblem_bg_poland
0x82D35678   emblem_bg_portugal
0x82D356F8   emblem_bg_russia
0x82D35778   emblem_bg_singapore
0x82D357F8   emblem_bg_south_africa
0x82D35878   emblem_bg_south_korea
0x82D358F8   emblem_bg_spain
0x82D35978   emblem_bg_sweden
0x82D359F8   emblem_bg_switzerland
0x82D35A78   emblem_bg_taiwan
0x82D35AF8   emblem_bg_uae
0x82D35B78   emblem_bg_uk
0x82D35BF8   emblem_bg_ukraine
0x82D35C78   emblem_bg_usa01
0x82D35CF8   emblem_bg_usa02
0x82D35D78   emblem_bg_ussr
0x82D35DF8   emblem_bg_blackbird
0x82D35E78   emblem_bg_bombs01
0x82D35EF8   emblem_bg_classified
0x82D35F78   emblem_bg_cuba_bar
0x82D35FF8   emblem_bg_escape01
0x82D36078   emblem_bg_helicopters01
0x82D360F8   emblem_bg_heroes01
0x82D36178   emblem_bg_hudson01
0x82D361F8   emblem_bg_interrogation
0x82D36278   emblem_bg_lookout01
0x82D362F8   emblem_bg_moon
0x82D36378   emblem_bg_novagas01
0x82D363F8   emblem_bg_novagas02
0x82D36478   emblem_bg_pilot01
0x82D364F8   emblem_bg_plane_crash
0x82D36578   emblem_bg_reznov01
0x82D365F8   emblem_bg_reznov02
0x82D36678   emblem_bg_rocket_launch
0x82D366F8   emblem_bg_rr
0x82D36778   emblem_bg_rusalka01
0x82D367F8   emblem_bg_ship01
0x82D36878   emblem_bg_soldiers13
0x82D368F8   emblem_bg_soldiers14
0x82D36978   emblem_bg_soldiers15
0x82D369F8   emblem_bg_twin_hinds
0x82D36A78   emblem_bg_underwater01
0x82D36AF8   emblem_bg_underwater02
0x82D36B78   emblem_bg_vorkuta01
0x82D36BF8   emblem_bg_vorkuta02
0x82D36C78   emblem_bg_blackops
0x82D36CF8   emblem_bg_camo02
0x82D36D78   emblem_bg_camo03
0x82D36DF8   emblem_bg_camo04
0x82D36E78   emblem_bg_cavern
0x82D36EF8   emblem_bg_cherries
0x82D36F78   emblem_bg_destruction
0x82D36FF8   emblem_bg_eye01
0x82D37078   emblem_bg_face91
0x82D370F8   emblem_bg_gasmask01
0x82D37178   emblem_bg_headshot
0x82D371F8   emblem_bg_hearts01
0x82D37278   emblem_bg_neon01
0x82D372F8   emblem_bg_nightmare
0x82D37378   emblem_bg_nva
0x82D373F8   emblem_bg_octopus
0x82D37478   emblem_bg_op40
0x82D374F8   emblem_bg_pretty_pony
0x82D37578   emblem_bg_rainbow
0x82D375F8   emblem_bg_skulls03
0x82D37678   emblem_bg_skulls04
0x82D376F8   emblem_bg_sog
0x82D37778   emblem_bg_spets
0x82D377F8   emblem_bg_swirls
0x82D37878   emblem_bg_teddy_bear
0x82D378F8   emblem_bg_tornado
0x82D37978   emblem_bg_tropas
0x82D379F8   emblem_bg_ufo01
0x82D37A78   emblem_bg_underwater03
0x82D37AF8   emblem_bg_wood01
0x82D37B78   emblem_bg_yellow_black
0x82D37BF8   emblem_bg_zombies01
0x82D37C78   emblem_bg_zombies02
0x82D37CF8   emblem_bg_zombies03
0x82D37D78   emblem_bg_zombies04
0x82D37DF8   emblem_bg_zombies05
0x82D37E78   emblem_bg_zombies06
0x82D37EF8   emblem_bg_barebones
0x82D37F78   emblem_bg_prestigeplaylist
0x82D37FF8   emblem_bg_wager
0x82D38078   emblem_bg_hardcore
0x82D380F8   emblem_bg_situationroom2
0x82D38178   emblem_bg_situationroom1
0x82D381F8   emblem_bg_sassysally
0x82D38278   emblem_bg_royalflush
0x82D382F8   emblem_bg_luckylucy
0x82D38378   emblem_bg_prestige1
0x82D383F8   emblem_bg_prestige2
0x82D38478   emblem_bg_prestige3
0x82D384F8   emblem_bg_prestige4
0x82D38578   emblem_bg_prestige5
0x82D385F8   emblem_bg_prestige6
0x82D38678   emblem_bg_prestige7
0x82D386F8   emblem_bg_prestige8
0x82D38778   emblem_bg_prestige9
0x82D387F8   emblem_bg_prestige10
0x82D38878   emblem_bg_prestige11
0x82D388F8   emblem_bg_prestige12
0x82D38978   emblem_bg_prestige13
0x82D389F8   emblem_bg_prestige14
0x82D38A78   emblem_bg_prestige15
0x82D38AF8   controller_icon1
0x82D38B78   controller_icon2
0x82D38BF8   controller_icon3
0x82D38C78   controller_icon4
0x82D38CF8   esrb_mature_logo
0x82D38D78   loadscreen_mp_array
0x82D38DF8   loadscreen_mp_berlinwall
0x82D38E78   loadscreen_mp_cosmodrome
0x82D38EF8   loadscreen_mp_cairo
0x82D38F78   loadscreen_mp_cracked
0x82D38FF8   loadscreen_mp_crisis
0x82D39078   loadscreen_mp_discovery
0x82D390F8   loadscreen_mp_duga
0x82D39178   loadscreen_mp_firingrange
0x82D391F8   loadscreen_mp_hanoi
0x82D39278   loadscreen_mp_havana
0x82D392F8   loadscreen_mp_havoc
0x82D39378   loadscreen_mp_hotel
0x82D393F8   loadscreen_mp_jungle
0x82D39478   loadscreen_mp_mountain
0x82D394F8   loadscreen_mp_munich
0x82D39578   loadscreen_mp_nuked
0x82D395F8   loadscreen_mp_radiation
0x82D39678   loadscreen_mp_russianbase
0x82D396F8   loadscreen_mp_villa
0x82D39778   compass_map_mp_array
0x82D397F8   compass_overlay_map_array
0x82D39878   compass_map_mp_array_wager
0x82D398F8   compass_map_mp_berlinwall
0x82D39978   compass_overlay_map_berlinwall
0x82D399F8   compass_map_mp_cairo
0x82D39A78   compass_overlay_map_cairo
0x82D39AF8   compass_map_mp_cairo_wager
0x82D39B78   compass_map_mp_castle
0x82D39BF8   compass_overlay_map_castle
0x82D39C78   compass_map_mp_cosmodrome
0x82D39CF8   compass_overlay_map_cosmodrome
0x82D39D78   compass_map_mp_cosmodrome_wager
0x82D39DF8   compass_map_mp_cracked
0x82D39E78   compass_overlay_map_cracked
0x82D39EF8   compass_map_mp_cracked_wager
0x82D39F78   compass_map_mp_crisis
0x82D39FF8   compass_overlay_map_crisis
0x82D3A078   compass_map_mp_crisis_wager
0x82D3A0F8   compass_map_mp_discovery
0x82D3A178   compass_overlay_map_discovery
0x82D3A1F8   compass_map_mp_duga
0x82D3A278   compass_overlay_map_duga
0x82D3A2F8   compass_map_mp_duga_wager
0x82D3A378   compass_map_mp_firingrange
0x82D3A3F8   compass_overlay_map_firingrange
0x82D3A478   compass_map_mp_hanoi
0x82D3A4F8   compass_overlay_map_hanoi
0x82D3A578   compass_map_mp_hanoi_wager
0x82D3A5F8   compass_map_mp_havana
0x82D3A678   compass_overlay_map_havana
0x82D3A6F8   compass_map_mp_havoc
0x82D3A778   compass_overlay_map_havoc
0x82D3A7F8   compass_map_mp_havoc_wager
0x82D3A878   compass_map_mp_hotel
0x82D3A8F8   compass_overlay_map_hotel
0x82D3A978   compass_map_mp_jungle
0x82D3A9F8   compass_overlay_map_jungle
0x82D3AA78   compass_map_mp_landing
0x82D3AAF8   compass_overlay_map_landing
0x82D3AB78   compass_map_mp_mountain
0x82D3ABF8   compass_overlay_map_mountain
0x82D3AC78   compass_map_mp_mountain_wager
0x82D3ACF8   compass_map_mp_munich
0x82D3AD78   compass_overlay_map_munich
0x82D3ADF8   compass_map_mp_nuked
0x82D3AE78   compass_overlay_map_nuked
0x82D3AEF8   compass_map_mp_pentagon
0x82D3AF78   compass_overlay_map_pentagon
0x82D3AFF8   compass_map_mp_port
0x82D3B078   compass_overlay_map_port
0x82D3B0F8   compass_map_mp_radiation
0x82D3B178   compass_overlay_map_radiation
0x82D3B1F8   compass_map_mp_radiation_wager
0x82D3B278   compass_map_mp_rooftops
0x82D3B2F8   compass_overlay_map_rooftops
0x82D3B378   compass_map_mp_russianbase
0x82D3B3F8   compass_overlay_map_russianbase
0x82D3B478   compass_map_mp_russianbase_wager
0x82D3B4F8   compass_map_mp_sandstorm
0x82D3B578   compass_overlay_map_sandstorm
0x82D3B5F8   compass_map_mp_sealab
0x82D3B678   compass_overlay_map_sealab
0x82D3B6F8   compass_map_mp_shipyard
0x82D3B778   compass_overlay_map_shipyard
0x82D3B7F8   compass_map_mp_underwater
0x82D3B878   compass_overlay_map_underwater
0x82D3B8F8   compass_map_mp_villa
0x82D3B978   compass_overlay_map_villa
0x82D3B9F8   compass_map_mp_villa_wager
0x82D3BA78   menu_mp_weapons_grim_reaper
0x82D3BAF8   $default
0x82D3BB78   menu_mp_weapons_minigun
0x82D3BBF8   white_r32f
0x82D3BC78   $additive
0x82D3BCF8   $additive_nodepth
0x82D3BD78   $glare_blind
0x82D3BDF8   $point
0x82D3BE78   $line
0x82D3BEF8   $line_nodepth
0x82D3BF78   $blend
0x82D3BFF8   $blend_nodepth
0x82D3C078   mc/lambert1
0x82D3C0F8   mc/mtl_defaultvehicle
0x82D3C178   mc/mtl_test_sphere_silver_lores
0x82D3C1F8   mc/gfx_missing_fx
0x82D3C278   composite_result
0x82D3C2F8   light_corona
0x82D3C378   clear_alpha
0x82D3C3F8   set_alpha
0x82D3C478   clear_alpha_stencil
0x82D3C4F8   depthprepass
0x82D3C578   shadowclear
0x82D3C5F8   shadowcaster
0x82D3C678   shadowoverlay
0x82D3C6F8   stencilshadow
0x82D3C778   stencildisplay
0x82D3C7F8   floatz_display
0x82D3C878   $floatz
0x82D3C8F8   $processed_floatz
0x82D3C978   shellshock
0x82D3C9F8   shellshock_flashed
0x82D3CA78   color_channel_mixer
0x82D3CAF8   frame_color_debug
0x82D3CB78   frame_alpha_debug
0x82D3CBF8   feedbackblend
0x82D3CC78   feedbackfilmblend
0x82D3CCF8   feedbackreplace
0x82D3CD78   $ps3_aadownsample
0x82D3CDF8   cinematic
0x82D3CE78   postfx_lut_0
0x82D3CEF8   postfx_lut_1
0x82D3CF78   postfx_lut_2
0x82D3CFF8   postfx_lut_3
0x82D3D078   postfx_lut_4
0x82D3D0F8   postfx_lut_5
0x82D3D178   postfx_lut_6
0x82D3D1F8   postfx_lut_7
0x82D3D278   postfx_lut_8
0x82D3D2F8   postfx_lut_9
0x82D3D378   bloom_downsample_ldr
0x82D3D3F8   bloom_downsample_hdr
0x82D3D478   bloom_downsample_convolution
0x82D3D4F8   bloom_remap
0x82D3D578   bloom_expansion
0x82D3D5F8   bloom_remap_streak
0x82D3D678   bloom_streak_x
0x82D3D6F8   bloom_streak_y
0x82D3D778   bloom_apply_streak
0x82D3D7F8   bloom_blur_x
0x82D3D878   bloom_blur_y
0x82D3D8F8   bloom_apply_hdr
0x82D3D978   bloom_apply_ldr
0x82D3D9F8   create_lut2dv
0x82D3DA78   resample_final
0x82D3DAF8   resample_shift
0x82D3DB78   bloom_smooth_a
0x82D3DBF8   bloom_smooth_b
0x82D3DC78   create_lut2d
0x82D3DCF8   apply_lut2d
0x82D3DD78   apply_lut3d
0x82D3DDF8   dof_downsample
0x82D3DE78   dof_downsample_nv_intz
0x82D3DEF8   dof_near_coc
0x82D3DF78   small_blur
0x82D3DFF8   motionblurfilter1
0x82D3E078   motionblurfilter2
0x82D3E0F8   motionblurfilter3
0x82D3E178   motionblurfilter4
0x82D3E1F8   motionblurfilter5
0x82D3E278   motionblurfilter6
0x82D3E2F8   motionblurfilter7
0x82D3E378   motionblurfilter8
0x82D3E3F8   motionblurframebased
0x82D3E478   motionblurradial
0x82D3E4F8   flamethrowerfx_color_distort_overlay_bloom
0x82D3E578   watersheeting_color_distort_blur
0x82D3E5F8   revivefx
0x82D3E678   postfx_dof
0x82D3E6F8   postfx_dof_nv_intz
0x82D3E778   postfx_dof_color
0x82D3E7F8   postfx_dof_color_nv_intz
0x82D3E878   postfx_color
0x82D3E8F8   postfx
0x82D3E978   glow_consistent_setup
0x82D3E9F8   glow_apply_bloom
0x82D3EA78   glow_godrays
0x82D3EAF8   filter_symmetric_1
0x82D3EB78   filter_symmetric_2
0x82D3EBF8   filter_symmetric_3
0x82D3EC78   filter_symmetric_4
0x82D3ECF8   filter_symmetric_5
0x82D3ED78   filter_symmetric_6
0x82D3EDF8   filter_symmetric_7
0x82D3EE78   filter_symmetric_8
0x82D3EEF8   pixel_cost_add_depth_always
0x82D3EF78   pixel_cost_add_depth_disable
0x82D3EFF8   pixel_cost_add_depth_equal
0x82D3F078   pixel_cost_add_depth_less
0x82D3F0F8   pixel_cost_add_depthwrite
0x82D3F178   pixel_cost_add_nodepthwrite
0x82D3F1F8   pixel_cost_color_code
0x82D3F278   statmon_warning_tris
0x82D3F2F8   poison
0x82D3F378   logo
0x82D3F3F8   infrared_white
0x82D3F478   fonts/devfonts
0x82D3F4F8   fonts/devfonts_glow
0x82D3F578   fonts/gamefonts_xenon
0x82D3F5F8   fonts/gamefonts_xenon_glow
0x82D3F678   console
0x82D3F6F8   spinner_wedge
0x82D3F778   ui_scrollbar
0x82D3F7F8   ui_scrollbar_arrow_dwn_a
0x82D3F878   ui_scrollbar_arrow_up_a
0x82D3F8F8   ui_scrollbar_arrow_left
0x82D3F978   ui_scrollbar_arrow_right
0x82D3F9F8   ui_scrollbar_thumb
0x82D3FA78   ui_slider2
0x82D3FAF8   ui_sliderbutt_1
0x82D3FB78   ui_line
0x82D3FBF8   nottalkingicon
0x82D3FC78   talkingicon
0x82D3FCF8   code_warning_file
0x82D3FD78   code_warning_fps
0x82D3FDF8   code_warning_bandwidth
0x82D3FE78   code_warning_bandwidthlimited
0x82D3FEF8   code_warning_scripterrors
0x82D3FF78   code_warning_gamestate
0x82D3FFF8   gradient
0x82D40078   whitetransparent
0x82D400F8   line_horizontal
0x82D40178   perk_tactical_mask_pro_256
0x82D401F8   perk_tactical_mask_256
0x82D40278   ui_host
0x82D402F8   rank_prvt
0x82D40378   rank_pfc
0x82D403F8   rank_spc
0x82D40478   rank_cpl
0x82D404F8   rank_sgt
0x82D40578   rank_ssgt
0x82D405F8   rank_sfc
0x82D40678   rank_sgtm
0x82D406F8   rank_lt
0x82D40778   rank_cpt
0x82D407F8   rank_maj
0x82D40878   rank_ltcol
0x82D408F8   rank_col
0x82D40978   rank_briggen
0x82D409F8   rank_majgen
0x82D40A78   rank_ltgen
0x82D40AF8   rank_gen
0x82D40B78   rank_com
0x82D40BF8   rank_prestige01
0x82D40C78   rank_prestige02
0x82D40CF8   rank_prestige03
0x82D40D78   rank_prestige04
0x82D40DF8   rank_prestige05
0x82D40E78   rank_prestige06
0x82D40EF8   rank_prestige07
0x82D40F78   rank_prestige08
0x82D40FF8   rank_prestige09
0x82D41078   rank_prestige10
0x82D410F8   rank_prestige11
0x82D41178   rank_prestige12
0x82D411F8   rank_prestige13
0x82D41278   rank_prestige14
0x82D412F8   rank_prestige15
0x82D41378   hud_asp
0x82D413F8   hud_icon_cz75
0x82D41478   hud_icon_colt
0x82D414F8   hud_icon_makarov
0x82D41578   hud_python
0x82D415F8   perk_hacker_pro_256
0x82D41678   hud_icon_kiparis
0x82D416F8   hud_icon_mac11
0x82D41778   hud_icon_mpl
0x82D417F8   hud_mp5k
0x82D41878   hud_icon_pm63
0x82D418F8   hud_icon_skorpion
0x82D41978   hud_icon_spectre
0x82D419F8   hud_icon_uzi
0x82D41A78   perk_hacker_256
0x82D41AF8   hud_commando
0x82D41B78   hud_icon_fnfal
0x82D41BF8   hud_icon_galil
0x82D41C78   hud_icon_m14
0x82D41CF8   hud_icon_m16a4
0x82D41D78   perk_second_chance_pro_256
0x82D41DF8   hud_enfield
0x82D41E78   perk_second_chance_256
0x82D41EF8   hud_icon_g11
0x82D41F78   hud_hk21
0x82D41FF8   hud_icon_m60e4
0x82D42078   hud_rpk
0x82D420F8   hud_icon_stoner63a
0x82D42178   perk_ninja_pro_256
0x82D421F8   perk_ninja_256
0x82D42278   perk_marathon_pro_256
0x82D422F8   perk_marathon_256
0x82D42378   hud_hs10
0x82D423F8   hud_ithaca
0x82D42478   hud_beretta
0x82D424F8   hud_icon_spas12
0x82D42578   hud_icon_rpg
0x82D425F8   hud_strela
0x82D42678   hud_icon_crossbow
0x82D426F8   hud_china_lake
0x82D42778   hud_icon_m72law
0x82D427F8   menu_mp_lobby_none_selected
0x82D42878   menu_mp_weapons_ak47
0x82D428F8   menu_mp_weapons_ak74u
0x82D42978   menu_mp_weapons_asp
0x82D429F8   menu_mp_weapons_aug
0x82D42A78   menu_mp_weapons_ballistic_knife
0x82D42AF8   menu_mp_weapons_china_lake
0x82D42B78   menu_mp_weapons_crossbow
0x82D42BF8   menu_mp_weapons_cz75
0x82D42C78   menu_mp_weapons_dragunov
0x82D42CF8   menu_mp_weapons_famas
0x82D42D78   menu_mp_weapons_fnfal
0x82D42DF8   menu_mp_weapons_g11
0x82D42E78   menu_mp_weapons_galil
0x82D42EF8   menu_mp_weapons_hk21
0x82D42F78   menu_mp_weapons_hs10
0x82D42FF8   menu_mp_weapons_ithaca
0x82D43078   menu_mp_weapons_l96a1
0x82D430F8   menu_mp_weapons_m14
0x82D43178   menu_mp_weapons_m16
0x82D431F8   menu_mp_weapons_m60
0x82D43278   menu_mp_weapons_m72_law
0x82D432F8   menu_mp_weapons_makarov
0x82D43378   menu_mp_weapons_mp5k
0x82D433F8   menu_mp_weapons_pm63
0x82D43478   menu_mp_weapons_psg1
0x82D434F8   menu_mp_weapons_rottweil72
0x82D43578   menu_mp_weapons_rpk
0x82D435F8   menu_mp_weapons_skorpion
0x82D43678   menu_mp_weapons_spas
0x82D436F8   menu_mp_weapons_spectre
0x82D43778   menu_mp_weapons_strela
0x82D437F8   menu_mp_weapons_uzi
0x82D43878   menu_mp_weapons_colt
0x82D438F8   menu_mp_weapons_commando
0x82D43978   menu_mp_weapons_enfield
0x82D439F8   menu_mp_weapons_kiparis
0x82D43A78   menu_mp_weapons_mac11
0x82D43AF8   menu_mp_weapons_mpl
0x82D43B78   menu_mp_weapons_python
0x82D43BF8   menu_mp_weapons_rpg
0x82D43C78   menu_mp_weapons_stoner63a
0x82D43CF8   menu_mp_weapons_wa2000
0x82D43D78   menu_mp_weapons_attach_acog
0x82D43DF8   menu_mp_weapons_attach_auto
0x82D43E78   menu_mp_weapons_attach_aimpoint
0x82D43EF8   menu_mp_weapons_attach_drum
0x82D43F78   menu_mp_weapons_attach_dual_clip
0x82D43FF8   menu_mp_weapons_attach_dual_wield
0x82D44078   menu_mp_weapons_attach_elbit
0x82D440F8   menu_mp_weapons_attach_extend_clip
